name,price,junk,year,model,mid_model,big_model
"iRobot Roomba  ルンバ 500.600シリーズ 基板の画像 1,999円",1999,False,,,,
"✨iRobot ルンバ エッジブラシモーター部品 iRobot純正品の画像 1,999円",1999,False,,,,
"◆格安◆美品◆ルンバ メインブラシモジュール ブラシ付き 中古品 動作確認済の画像 1,999円",1999,False,,,,
"ルンバi7+の画像 52,200円",52200,False,,,,
"ルンバs9+の画像 50,600円",50600,False,,,,
"ルンバs9+ クリーンベースの画像 38,000円",38000,False,,,,
"★ルンバ Roomba 875 バッテリー100分可動 ローラーブラシ新品の画像 13,999円",13999,False,,875,870.0,800.0
"✨ルンバ Roomba 880✨ バッテリー100分可動の画像 13,999円",13999,False,,880,880.0,800.0
"★美品★ルンバ Roomba 630 バッテリー100分連続可動の画像 11,999円",11999,False,,630,630.0,600.0
"✨美品✨ルンバ Roomba 628 バッテリー 100分可動の画像 12,999円",12999,False,,628,620.0,600.0
"✨美品★ルンバ Roomba 577 バッテリー100分連続可動の画像 11,999円",11999,False,,577,570.0,500.0
"iRobotルンバ780ダストボックスの画像 1,600円",1600,False,,780,780.0,700.0
"iRobotルンバe5ダストボックスの画像 1,800円",1800,False,,,,
"ルンバ700シリーズ 最終値下げの画像 5,399円",5399,False,,,,
"IROBOT ルンバ I7+の画像 70,000円",70000,False,,,,
"IROBOT ルンバ980【超美品】20年式の画像 29,500円",29500,False,,980,980.0,900.0
"iRobot Roomba 980 ロボット掃除機 アイロボット ルンバ 美品の画像 40,600円",40600,False,,980,980.0,900.0
"アイロボット ルンバ  ロボット掃除機 i715060の画像 41,480円",41480,False,,715,710.0,700.0
"ルンバ Roomba 577 バッテリー100分連続可動の画像 11,999円",11999,False,,577,570.0,500.0
"新品未開封 アイロボット iRobot ルンバ i7+ Rumbaの画像 69,000円",69000,False,,,,
"【美品】IROBOT ルンバ880  Roomba ロボット掃除機の画像 14,980円",14980,False,,880,880.0,800.0
"IROBOT ルンバ 871 付属品ありの画像 8,980円",8980,False,,871,870.0,800.0
"IROBOT ルンバ I7 新品未開封の画像 43,800円",43800,False,,,,
"ルンバ フィルターの画像 1,140円",1140,False,,,,
"ルンバ 871  純正付属品の画像 3,389円",3389,False,,871,870.0,800.0
"IROBOT ルンバ 770 掃除機の画像 6,500円",6500,False,,770,770.0,700.0
"IROBOT ルンバ 880 掃除機の画像 7,500円",7500,False,,880,880.0,800.0
"【新品未開封】アイロボット IRobot ルンバ i2 グレー Alexa対応の画像 31,600円",31600,False,,,,
"IRobotルンバ870の画像 15,400円",15400,False,,870,870.0,800.0
"IRobotルンバ626(2016年式)の画像 12,600円",12600,False,2016.0,626,620.0,600.0
"週末限定値下げ 購入1年未満 IROBOT ルンバ 960 おまけ付きの画像 22,900円",22900,False,,960,960.0,900.0
"☆美品☆ iRobot Roomba ルンバ980 ロボット掃除機 付属品完備の画像 33,600円",33600,False,,980,980.0,900.0
"ルンバ デュアルアクションブラシ 純正 未使用の画像 3,800円",3800,False,,,,
"新品未開封品!値下げ!IROBOT ルンバ980の画像 43,990円",43990,False,,980,980.0,900.0
"【美品】✨ルンバ 570専用✨お部屋ナビ✨2個セット✨80201【無料匿名配送】の画像 3,088円",3088,False,,570,570.0,500.0
"ルンバ i7+ ロボット掃除機  i755060の画像 69,800円",69800,False,,755,750.0,700.0
"【2022年9月購入】IROBOT ルンバ E5の画像 27,000円",27000,False,2022.0,,,
"Wi-Fi・Alexa連携対応機種 iRobotルンバ960 ロボット掃除機の画像 25,800円",25800,False,,960,960.0,900.0
"★美品★IROBOT ルンバ E5の画像 24,000円",24000,False,,,,
"美品 iRobot ルンバ960 バッテリー100分動作品 2021年製の画像 26,300円",26300,False,2021.0,960,960.0,900.0
"ルンバ バーチャルウォールセンサーの画像 3,800円",3800,False,,,,
"【新古超美品】Roomba ルンバ j7の画像 75,000円",75000,False,,,,
"送料無料 iRobot ルンバ 876 ロボット掃除機の画像 21,600円",21600,False,,876,870.0,800.0
"未使用 美品 ロボット掃除機 ルンバ e5 ブラック e5150の画像 27,500円",27500,False,,,,
"✨iRobot ルンバ エッジブラシモーター部品 iRobot純正品の画像 1,999円",1999,False,,,,
"IROBOT ルンバ 880の画像 9,000円",9000,False,,880,880.0,800.0
"【3366】ゴミステーション付き! 送料無料 ルンバ I7+ i715060の画像 63,800円",63800,False,,715,710.0,700.0
"iRobot ルンバ980の画像 32,000円",32000,False,,980,980.0,900.0
"IROBOT ルンバ606の画像 6,300円",6300,False,,606,600.0,600.0
"【ジャンク品】IROBOT ルンバ760【値下げしました!】の画像 3,500円",3500,True,,760,760.0,700.0
"IROBOT ルンバ641の画像 9,800円",9800,False,,641,640.0,600.0
"ルンバ800/900クリーニングブラシ、エアロフィルター、エアロブラシ、リモコンの画像 1,400円",1400,False,,,,
"新品未開封!ルンバ i3+ Roombaの画像 62,000円",62000,False,,,,
"アイロボット ルンバ AeroVacフィルター エアロバックフィルター 3個の画像 1,500円",1500,False,,,,
"新品バッテリー付き 吸引力5倍 IROBOTルンバ880 ロボット掃除機 家電の画像 19,700円",19700,False,,880,880.0,800.0
"iRobot/アイロボット ルンバ 890 ロボット掃除機 掃除機 800の画像 17,080円",17080,False,,890,890.0,800.0
"ルンバ タイヤモジュールの画像 3,200円",3200,False,,,,
"(新品未使用) iRobot Roomba ルンバ 671 R671060の画像 28,700円",28700,False,,671,670.0,600.0
"IROBOT ルンバ E5の画像 33,800円",33800,False,,,,
"美品IROBOT ルンバ694の画像 18,100円",18100,False,,694,690.0,600.0
"IROBOT ルンバ 878 本体基板のみの画像 1,950円",1950,False,,878,870.0,800.0
"ルンバ ホームベース充電器の画像 4,700円",4700,False,,,,
"ルンバ770 ジャンク品の画像 5,400円",5400,True,,770,770.0,700.0
"IROBOT ルンバ i715060の画像 46,500円",46500,False,,715,710.0,700.0
"アイロボット ルンバ 530の画像 14,999円",14999,False,,530,530.0,500.0
"ルンバ iRobot Roomba 600 626 2016年製 日本正規品の画像 7,333円",7333,False,2016.0,626,620.0,600.0
"iRobot ルンバ (バッテリー新品!可愛いオレンジに塗装!)の画像 10,000円",10000,False,,,,
"iRobot Roomba 自動 掃除機 ルンバ 870 ピューターグレーの画像 34,000円",34000,False,,870,870.0,800.0
"IROBOOT ルンバ  500シリーズ用 ダストボックス  中古 純正品の画像 1,500円",1500,False,,,,
"ルンバ 500/600シリーズ用  ダストボックス   純正品の画像 1,600円",1600,False,,,,
"【中古ルンバ】iRobot ロボット掃除機 Roomba 626 日本正規品の画像 7,980円",7980,False,,626,620.0,600.0
"ルンバi 3+ 空箱 iRobotの画像 3,000円",3000,False,,,,
"ルンバ  ダストカット フィルター 800 900 シリーズ 互換品 3個セットの画像 1,100円",1100,False,,,,
"ルンバ クリーニングヘッドモジュールの画像 2,700円",2700,False,,,,
"ルンバ  ダストカット フィルター 800 900 シリーズ 互換品 6個セットの画像 2,100円",2100,False,,,,
"ルンバ e5 e515060の画像 30,890円",30890,False,,515,510.0,500.0
"ルンバe5 2020年購入 使用少! 美品! アイロボット e5150 取説付きの画像 21,500円",21500,False,2020.0,,,
"iRobotアイロボット 正規品 Roomba ルンバ オートバーチャルウォールの画像 1,799円",1799,False,,,,
"ルンバ960 Roomba アイロボットルンバ ロボット掃除機の画像 40,000円",40000,False,,960,960.0,900.0
"IROBOT ルンバ I7 新品未開封 5年保証付きの画像 60,000円",60000,False,,,,
"◆格安◆美品◆ルンバ メインブラシモジュール ブラシ付き 中古品 動作確認済の画像 1,999円",1999,False,,,,
"【直接引き取り限定】iRobot ルンバ 600 (2016年製)の画像 1,480円",1480,False,2016.0,,,
"Robot ルンバ 17063 ホームベース充電器 純正すぐ発送可能です。の画像 3,000円",3000,False,,,,
"ルンバ 880 iRobot Roomba 880 アイロボットの画像 16,100円",16100,False,,880,880.0,800.0
"IROBOOT ルンバ 800シリーズ用 ダストボックス  中古 純正品の画像 3,800円",3800,False,,,,
"大容量新品バッテリー付き iRobotルンバ630 ロボット掃除機 スマート家電の画像 11,900円",11900,False,,630,630.0,600.0
"iRobot ルンバi7 i715060の画像 28,000円",28000,False,,715,710.0,700.0
"人気商品 2時間弱の連続使用可能 iRobotルンバe5 ロボット掃除機 ペットの画像 25,000円",25000,False,,,,
"ルンバ サイドブラシモーターの画像 1,600円",1600,False,,,,
"IROBOT ルンバ E5の画像 28,500円",28500,False,,,,
"【状態良好品】iROBOT ロボット掃除機 ルンバ876 マットシルバーの画像 18,880円",18880,False,,876,870.0,800.0
"ルンバ アイロボット 掃除機の画像 11,800円",11800,False,,,,
"【値下げ交渉歓迎】iRobot ルンバ i7の画像 49,980円",49980,False,,,,
"国内正規品 ロボット掃除機 ルンバi7+ ダークグレー i755060の画像 84,700円",84700,False,,755,750.0,700.0
"ルンバ i7+ ロボット掃除機 アイロボット 自動ゴミ収集  Alexa対応の画像 72,500円",72500,False,,,,
"IROBOT ルンバ e5の画像 28,000円",28000,False,,,,
"iRobot ルンバ 627 ロボット掃除機 掃除機の画像 7,555円",7555,False,,627,620.0,600.0
"iRobot ルンバi2 新品未開封 たのメル便発送の画像 32,400円",32400,False,,,,
"★美品★ルンバ Roomba 620 バッテリー100分連続可動の画像 10,999円",10999,False,,620,620.0,600.0
"IRobot ルンバ i7+ ロボット掃除機 アイロボット 自動ゴミ収集の画像 86,480円",86480,False,,,,
"IROBOT ルンバ I7+  Echo Dot (エコードット)第3世代の画像 89,200円",89200,False,,,,
"中古 iROBOT ルンバ577(500シリーズ最上位機種)予備パーツ付きの画像 7,800円",7800,False,,577,570.0,500.0
"ルンバ 新品8250円 2個セットデュアルバーチャルウォール2個セットの画像 8,699円",8699,False,,,,
"【未使用】IROBOT ルンバ E5 e515060の画像 27,000円",27000,False,,515,510.0,500.0
"IROBOT 537 ルンバの画像 7,500円",7500,False,,537,530.0,500.0
"iRobot ルンバ 538の画像 3,400円",3400,False,,538,530.0,500.0
"ルンバ メインブラシモジュールの画像 2,400円",2400,False,,,,
"ルンバ 870の画像 8,100円",8100,False,,870,870.0,800.0
"大容量新品バッテリー付き iRobotルンバ885 ロボット掃除機 スマート家電の画像 19,900円",19900,False,,885,880.0,800.0
"上位機種なので吸引力10倍 iRobotルンバ980 ロボット掃除機 時短家電の画像 36,200円",36200,False,,980,980.0,900.0
"IROBOT ルンバ I7 ロボットの画像 42,500円",42500,False,,,,
"IROBOOT   ルンバ  充電器   純正品  中古の画像 2,000円",2000,False,,,,
"アイロボット ルンバ ダストカットフィルターの画像 3,000円",3000,False,,,,
"IRoboot  ルンバ  サイドモジュール  純正品  中古の画像 1,200円",1200,False,,,,
"iRobot ルンバ e5の画像 19,600円",19600,False,,,,
"iRobot 【21年製】ルンバe5の画像 23,600円",23600,False,,,,
"アイロボット ルンバe5 880 870 ロボット掃除機 付属品の画像 32,800円",32800,False,,870,870.0,800.0
"ルンバ980 バーチャルウォール ロボット掃除機 フィルター サイドブラシの画像 4,500円",4500,False,,980,980.0,900.0
"iRobot クリーナー ロボット掃除機 ルンバ i3+の画像 62,000円",62000,False,,,,
"ルンバ980 アイロボット ロボット掃除機 掃除機 iRobotの画像 35,800円",35800,False,,980,980.0,900.0
